,date,open,close,high,low,volume,code,time
144,2018-08-08,5.28,5.28,5.3,5.28,884.0,600642,14:55
145,2018-08-08,5.28,5.29,5.3,5.28,607.0,600642,15:00
146,2018-08-09,5.28,5.32,5.33,5.26,5018.0,600642,09:35
147,2018-08-09,5.32,5.31,5.33,5.3,1991.0,600642,09:40
148,2018-08-09,5.32,5.31,5.32,5.3,1752.0,600642,09:45
149,2018-08-09,5.31,5.32,5.32,5.3,2181.0,600642,09:50
150,2018-08-09,5.32,5.3,5.32,5.29,1635.0,600642,09:55
151,2018-08-09,5.3,5.31,5.31,5.28,2511.0,600642,10:00
152,2018-08-09,5.3,5.31,5.32,5.3,1884.0,600642,10:05
153,2018-08-09,5.31,5.31,5.32,5.3,1263.0,600642,10:10
154,2018-08-09,5.31,5.32,5.32,5.3,776.0,600642,10:15
155,2018-08-09,5.32,5.32,5.32,5.31,812.0,600642,10:20
156,2018-08-09,5.31,5.3,5.32,5.3,1794.0,600642,10:25
157,2018-08-09,5.3,5.3,5.32,5.3,1706.0,600642,10:30
158,2018-08-09,5.3,5.3,5.31,5.3,1341.0,600642,10:35
159,2018-08-09,5.3,5.33,5.33,5.3,3205.0,600642,10:40
160,2018-08-09,5.33,5.34,5.34,5.32,5304.0,600642,10:45
161,2018-08-09,5.34,5.34,5.35,5.33,4871.0,600642,10:50
162,2018-08-09,5.35,5.34,5.35,5.33,1848.0,600642,10:55
163,2018-08-09,5.34,5.34,5.34,5.33,1530.0,600642,11:00
164,2018-08-09,5.33,5.34,5.34,5.33,2128.0,600642,11:05
165,2018-08-09,5.34,5.33,5.34,5.33,3915.0,600642,11:10
166,2018-08-09,5.33,5.33,5.33,5.32,1287.0,600642,11:15
167,2018-08-09,5.33,5.33,5.33,5.32,724.0,600642,11:20
168,2018-08-09,5.33,5.33,5.33,5.32,1262.0,600642,11:25
169,2018-08-09,5.33,5.33,5.33,5.32,2209.0,600642,11:30
170,2018-08-09,5.33,5.33,5.33,5.32,2398.0,600642,13:05
171,2018-08-09,5.33,5.34,5.34,5.32,2228.0,600642,13:10
172,2018-08-09,5.34,5.34,5.34,5.32,2395.0,600642,13:15
173,2018-08-09,5.34,5.34,5.34,5.33,1791.0,600642,13:20
