,date,open,close,high,low,volume,code
110,2017-06-20,5.793,5.783,5.82,5.755,114621.0,600642
111,2017-06-21,5.811,5.811,5.82,5.774,93082.0,600642
112,2017-06-22,5.82,5.83,5.876,5.811,158706.0,600642
113,2017-06-23,5.82,5.783,5.83,5.746,100613.0,600642
114,2017-06-26,5.783,5.848,5.858,5.765,90170.0,600642
115,2017-06-27,5.848,5.858,5.876,5.82,63769.0,600642
116,2017-06-28,5.858,5.886,5.913,5.839,142809.0,600642
117,2017-06-29,5.886,5.867,5.904,5.848,77864.0,600642
118,2017-06-30,5.858,5.858,5.876,5.839,58223.0,600642
119,2017-07-03,5.858,5.858,5.876,5.82,67693.0,600642
120,2017-07-04,5.858,5.783,5.858,5.765,116064.0,600642
121,2017-07-05,5.774,5.802,5.82,5.774,74610.0,600642
122,2017-07-06,5.811,5.765,5.82,5.755,118549.0,600642
123,2017-07-07,5.765,5.913,5.923,5.755,300848.0,600642
124,2017-07-10,5.895,5.913,5.941,5.867,145668.0,600642
125,2017-07-11,5.904,5.904,5.941,5.867,163941.0,600642
126,2017-07-12,5.904,5.83,5.913,5.802,129186.0,600642
127,2017-07-13,5.83,5.886,5.886,5.82,123952.0,600642
128,2017-07-14,5.886,5.867,5.886,5.848,102412.0,600642
129,2017-07-17,5.867,5.765,5.876,5.727,189629.0,600642
130,2017-07-18,5.765,5.811,5.811,5.746,84698.0,600642
131,2017-07-19,5.793,5.969,5.979,5.793,227529.0,600642
132,2017-07-20,5.988,6.025,6.09,5.969,319659.0,600642
133,2017-07-21,6.045,5.996,6.045,5.977,210552.0,600642
134,2017-07-24,5.987,6.141,6.16,5.987,306441.0,600642
135,2017-07-25,6.141,6.045,6.141,6.025,190195.0,600642
136,2017-07-26,6.035,6.025,6.054,5.987,134252.0,600642
137,2017-07-27,6.035,6.035,6.083,5.987,106549.0,600642
138,2017-07-28,6.045,5.987,6.045,5.977,137882.0,600642
139,2017-07-31,5.996,5.996,6.025,5.977,147679.0,600642
140,2017-08-01,6.016,6.006,6.045,5.996,127421.0,600642
141,2017-08-02,6.016,5.958,6.025,5.948,137397.0,600642
142,2017-08-03,5.958,5.977,6.016,5.958,125237.0,600642
143,2017-08-04,5.968,6.064,6.102,5.968,281227.0,600642
144,2017-08-07,6.064,6.083,6.093,6.035,142545.0,600642
145,2017-08-08,6.054,6.025,6.083,5.996,126491.0,600642
146,2017-08-09,6.025,6.016,6.035,5.977,109348.0,600642
147,2017-08-10,5.987,5.919,6.025,5.91,180715.0,600642
148,2017-08-11,5.919,5.833,5.948,5.804,172140.0,600642
149,2017-08-14,5.823,5.862,5.9,5.823,85108.0,600642
150,2017-08-15,5.891,5.852,5.91,5.833,74740.0,600642
151,2017-08-16,5.842,5.862,5.871,5.833,57631.0,600642
152,2017-08-17,5.871,5.91,5.91,5.842,89320.0,600642
153,2017-08-18,5.891,5.919,5.948,5.871,86983.0,600642
154,2017-08-21,5.929,5.958,5.968,5.919,66596.0,600642
155,2017-08-22,5.958,5.958,5.977,5.929,63542.0,600642
156,2017-08-23,5.977,5.9,5.977,5.881,82518.0,600642
157,2017-08-24,5.891,5.9,5.948,5.881,50269.0,600642
158,2017-08-25,5.9,5.929,5.948,5.891,94137.0,600642
159,2017-08-28,5.929,5.987,6.006,5.929,128859.0,600642
160,2017-08-29,5.987,5.929,6.006,5.91,127727.0,600642
161,2017-08-30,5.929,5.929,5.958,5.91,93617.0,600642
162,2017-08-31,5.919,5.9,5.948,5.891,89324.0,600642
163,2017-09-01,5.929,5.91,5.939,5.891,133498.0,600642
164,2017-09-04,5.91,5.891,5.91,5.871,123575.0,600642
165,2017-09-05,5.891,5.862,5.891,5.842,131336.0,600642
166,2017-09-06,5.862,5.871,5.891,5.833,78754.0,600642
167,2017-09-07,5.881,5.852,5.881,5.842,77555.0,600642
168,2017-09-08,5.852,5.852,5.871,5.842,71536.0,600642
169,2017-09-11,5.862,5.862,5.871,5.833,87478.0,600642
170,2017-09-12,5.862,5.862,5.891,5.852,126153.0,600642
171,2017-09-13,5.862,5.862,5.871,5.842,70142.0,600642
172,2017-09-14,5.862,5.891,5.948,5.842,131557.0,600642
173,2017-09-15,5.871,5.852,5.871,5.823,102490.0,600642
174,2017-09-18,5.852,5.852,5.862,5.833,70864.0,600642
175,2017-09-19,5.852,5.823,5.852,5.814,67331.0,600642
176,2017-09-20,5.823,5.852,5.852,5.814,77855.0,600642
177,2017-09-21,5.842,5.814,5.862,5.814,76777.0,600642
178,2017-09-22,5.814,5.785,5.814,5.765,91205.0,600642
179,2017-09-25,5.775,5.737,5.785,5.727,83147.0,600642
180,2017-09-26,5.746,5.727,5.746,5.717,55327.0,600642
181,2017-09-27,5.746,5.746,5.756,5.717,43640.0,600642
182,2017-09-28,5.746,5.727,5.756,5.717,45675.0,600642
183,2017-09-29,5.727,5.737,5.746,5.717,51681.0,600642
184,2017-10-09,5.785,5.756,5.794,5.746,69219.0,600642
185,2017-10-10,5.756,5.804,5.804,5.746,73675.0,600642
186,2017-10-11,5.804,5.804,5.814,5.785,59973.0,600642
187,2017-10-12,5.804,5.785,5.814,5.765,52229.0,600642
188,2017-10-13,5.794,5.814,5.814,5.775,68461.0,600642
189,2017-10-16,5.804,5.756,5.814,5.746,74458.0,600642
190,2017-10-17,5.765,5.737,5.775,5.737,50257.0,600642
191,2017-10-18,5.756,5.708,5.765,5.698,71277.0,600642
192,2017-10-19,5.717,5.669,5.717,5.66,83729.0,600642
193,2017-10-20,5.679,5.717,5.727,5.669,56730.0,600642
194,2017-10-23,5.737,5.765,5.765,5.727,58245.0,600642
195,2017-10-24,5.756,5.727,5.765,5.708,54356.0,600642
196,2017-10-25,5.737,5.756,5.756,5.717,56407.0,600642
197,2017-10-26,5.746,5.756,5.775,5.717,78727.0,600642
198,2017-10-27,5.746,5.737,5.765,5.708,85213.0,600642
199,2017-10-30,5.746,5.65,5.746,5.631,104324.0,600642
200,2017-10-31,5.64,5.66,5.679,5.631,66442.0,600642
201,2017-11-01,5.669,5.611,5.679,5.602,97541.0,600642
202,2017-11-02,5.621,5.592,5.64,5.583,90021.0,600642
203,2017-11-03,5.602,5.573,5.621,5.544,109840.0,600642
204,2017-11-06,5.583,5.602,5.611,5.544,77582.0,600642
205,2017-11-07,5.592,5.631,5.64,5.583,70427.0,600642
206,2017-11-08,5.631,5.66,5.679,5.611,94692.0,600642
207,2017-11-09,5.65,5.679,5.688,5.621,120841.0,600642
208,2017-11-10,5.669,5.621,5.669,5.611,125308.0,600642
209,2017-11-13,5.621,5.611,5.64,5.602,88447.0,600642
210,2017-11-14,5.602,5.583,5.611,5.563,97478.0,600642
211,2017-11-15,5.573,5.573,5.592,5.563,56265.0,600642
212,2017-11-16,5.583,5.554,5.592,5.544,68550.0,600642
213,2017-11-17,5.563,5.486,5.573,5.486,112353.0,600642
214,2017-11-20,5.496,5.506,5.515,5.467,85621.0,600642
215,2017-11-21,5.515,5.544,5.583,5.486,94510.0,600642
216,2017-11-22,5.554,5.602,5.631,5.534,118115.0,600642
217,2017-11-23,5.583,5.534,5.611,5.515,90727.0,600642
218,2017-11-24,5.534,5.515,5.544,5.486,88357.0,600642
219,2017-11-27,5.496,5.438,5.515,5.429,129966.0,600642
220,2017-11-28,5.438,5.467,5.477,5.438,77689.0,600642
221,2017-11-29,5.467,5.477,5.486,5.448,91150.0,600642
222,2017-11-30,5.477,5.486,5.506,5.457,67560.0,600642
223,2017-12-01,5.486,5.477,5.506,5.467,66247.0,600642
224,2017-12-04,5.496,5.438,5.525,5.429,150050.0,600642
225,2017-12-05,5.438,5.457,5.467,5.419,128507.0,600642
226,2017-12-06,5.467,5.409,5.467,5.39,166155.0,600642
227,2017-12-07,5.419,5.361,5.429,5.352,166406.0,600642
228,2017-12-08,5.361,5.409,5.409,5.361,111711.0,600642
229,2017-12-11,5.409,5.419,5.429,5.39,104000.0,600642
230,2017-12-12,5.438,5.419,5.467,5.409,114621.0,600642
231,2017-12-13,5.419,5.438,5.438,5.409,57785.0,600642
232,2017-12-14,5.438,5.573,5.602,5.429,292777.0,600642
233,2017-12-15,5.573,5.515,5.583,5.496,139953.0,600642
234,2017-12-18,5.515,5.515,5.563,5.496,86992.0,600642
235,2017-12-19,5.534,5.534,5.554,5.515,84086.0,600642
236,2017-12-20,5.534,5.592,5.66,5.525,236164.0,600642
237,2017-12-21,5.573,5.621,5.66,5.563,142129.0,600642
238,2017-12-22,5.621,5.746,5.775,5.602,324517.0,600642
239,2017-12-25,5.727,5.66,5.775,5.66,202777.0,600642
240,2017-12-26,5.669,5.717,5.746,5.66,163428.0,600642
241,2017-12-27,5.717,5.631,5.717,5.611,168353.0,600642
242,2017-12-28,5.64,5.631,5.66,5.602,110607.0,600642
243,2017-12-29,5.65,5.64,5.669,5.621,63819.0,600642
244,2018-01-02,5.669,5.688,5.708,5.65,113743.0,600642
245,2018-01-03,5.698,5.727,5.756,5.679,150293.0,600642
246,2018-01-04,5.727,5.756,5.765,5.698,136599.0,600642
247,2018-01-05,5.737,5.746,5.775,5.708,163211.0,600642
248,2018-01-08,5.737,5.765,5.765,5.698,184556.0,600642
249,2018-01-09,5.756,5.727,5.756,5.698,131783.0,600642
250,2018-01-10,5.708,5.708,5.737,5.688,128056.0,600642
251,2018-01-11,5.708,5.698,5.717,5.679,112741.0,600642
252,2018-01-12,5.708,5.65,5.717,5.64,158366.0,600642
253,2018-01-15,5.65,5.631,5.669,5.611,152978.0,600642
254,2018-01-16,5.611,5.688,5.708,5.611,141592.0,600642
255,2018-01-17,5.688,5.708,5.727,5.669,139714.0,600642
256,2018-01-18,5.717,5.688,5.717,5.669,99438.0,600642
257,2018-01-19,5.698,5.737,5.775,5.679,190767.0,600642
258,2018-01-22,5.737,5.833,5.871,5.737,306654.0,600642
